ID,NAME,PARENT_ID,LOGIN,Назначение,Форма собственности,Год постройки,Год реконструкции,Серия проекта,Количество этажей,Количество подъездов,Количество квартир,Общая площадь,Общая площадь жилых помещений,Общая площадь нежилых помещений,Строительный объем,Износ объекта (по БТИ),Класс энергоэффективности,Материал стен,Признак аварийности здания,Количество пассажирских лифтов,Количество грузопассажирских лифтов,Очередность уборки кровли,Материал кровли,UNOM,Вид социального объекта,Тип жилищного фонда,Статус МКД,Статус управления МКД,Количество грузовых лифтов,Причина Изменения Статуса МКД,Категория МКД
1501015,"Дом по адресу Лухмановская ул., д.13",,404080001,,,2006,,2048863,24,1,182,8924,8521,403,,,,2048929,22728486,2,2,,22289201,240121,,42875644,58761330,45063584,0,,
1501019,"Дом по адресу Владимирская 2-я ул., д.9Г",,404120001,,,1963,,2048755,5,4,80,3556,3536,20,,,,2048929,22728486,0,0,22289163,22289201,4040,,42875644,58761330,45063584,0,,
1501028,"Дом по адресу Новокосинская ул., д.37",,WS,,,1987,,2048777,17,3,196,11335,10875,460,,,,2048929,22728486,3,3,,22289201,16554,,42875644,58761330,45063584,0,,
1501034,"Дом по адресу Бойцовая ул., д.11",,404010001,,,1962,,2048755,5,4,80,3516,3510,6,,,,2048929,22728486,0,0,22289162,22289201,2345,,42875644,58761330,45063584,0,,
1501036,"Дом по адресу Лухмановская ул., д.11",,404080001,,,2007,,2048863,24,1,184,9104,8525,579,,,,2048929,22728486,2,2,,22289201,240146,,42875644,58761330,45063584,0,,
1501045,"Дом по адресу Николая Старостина ул., д.5",,404110001,,,1997,,2048842,7,9,159,11405,10631,774,,,,2048929,22728486,9,0,,22289201,80041,,42875644,58761330,45063585,0,,
1501053,"Дом по адресу Щелковское шоссе, д.60",,operator2,,,1962,,2048912,5,3,57,2896,2413,483,,,,179625090,22728486,0,0,22289162,22289201,29938,,42875644,41321872,45058207,0,обращение МЖИ от 11.02.2022г.,
1501073,"Дом по адресу Фрязевская ул., д.15, к.2",,WS,,,1970,,2048759,14,1,98,4239,4239,0,,,,179625090,22728486,2,0,,22289201,27715,,42875644,58761330,45063584,0,,
1501078,"Дом по адресу Зеленый просп., д.4, к.2",,404120001,,,1985,,2048779,12,2,95,4306,4266,40,,,,2048929,22728486,4,0,,22289201,8330,,42875644,58761330,45063584,0,,
1501079,"Дом по адресу Лениногорская ул., д.6",,WS,,,1918,,2048798,1,4,3,199,199,0,,,,2048931,22728486,0,0,,22289204,50304,,22741963,58761330,,0,,
1501086,"Дом по адресу Черкизовская Б. ул., д.22, к.4",,404130001,,,1966,,2048798,5,3,60,2484,2484,0,,,,179625102,22728486,0,0,22289163,22289201,28592,,42875644,58761330,45063584,0,,
1501095,"Дом по адресу Братская ул., д.23, к.3",,WS,,,1966,,2048755,5,6,118,5182,5151,31,,,,2048929,22728486,0,0,22289163,22289201,2780,,42875644,58761330,45063584,0,,
1501097,"Дом по адресу Новокосинская ул., д.49",,WS,,,1987,,2048777,17,4,264,15040,14567,473,,,,2048929,22728486,4,4,,22289201,16564,,42875644,58761330,45063584,0,,
1501118,"Дом по адресу Соколиной Горы 5-я ул., д.23, к.3",,404150001,,,1959,,2048912,5,3,45,2532,2405,127,,,,179625102,22728486,0,0,22289163,22289204,24160,,42875644,58761330,45063584,0,,
1501127,"Дом по адресу Суворовская ул., д.2/1, к.4",,WS,,,1928,,2048798,5,5,50,4237,3581,656,,,,179625102,22728488,0,0,,22289204,6309,,30034032,58761330,,0,,
1501129,"Дом по адресу Пехорская ул., д.27",,WS,,,2010,,2048798,2,1,1,229,229,0,,,,179625090,22728486,0,0,,22289214,260035,,22741963,58761330,,0,,
1501135,"Дом по адресу Вешняковская ул., д.25/2",,WS,,,1973,,2048789,12,4,428,17611,17583,28,,,,179625090,22728486,4,4,,22289201,3805,,42875644,58761330,45063585,0,,
1501139,"Дом по адресу Погонный пр., д.14",,WS,,,2009,,2048798,25,2,309,29097,20172,8925,0,0,,179625111,22728486,6,3,,22289201,260019,,42875644,58761330,45063584,0,,
1501159,"Дом по адресу Кирпичный 1-й пер., д.19",,404150001,,,1958,,2048912,5,3,45,2516,2383,133,,,,179625102,22728486,0,0,22289163,22289204,10149,,42875644,58761330,45063584,0,,
1501160,"Дом по адресу Владимирская 2-я ул., д.56",,WS,,,1961,,56183261,5,4,74,3408,3160,248,,,,179625102,22728486,0,0,22289163,22289201,4094,,42875644,58761330,45063584,0,,
1501166,"Дом по адресу Федеративный просп., д.21, к.2",,WS,,,1976,,2048912,12,1,69,4225,3374,851,0,0,,179625102,22728486,2,0,,22289201,27088,,42875644,58761330,45063584,0,,
1501169,"Дом по адресу Красковский 1-й пр., д.23",,404080001,,,1938,,2048798,1,3,2,100,100,0,,,,2048931,22728486,0,0,,22289205,49955,,22741963,58761330,,0,,
1501176,"Дом по адресу Кусковская ул., д.23, к.4",,WS,,,1964,,2048912,5,3,60,2611,2590,21,,,,2048929,22728486,0,0,22289163,22289201,12334,,42875644,58761330,45063584,0,,
1501181,"Дом по адресу Ивантеевская ул., д.1, к.6",,404010001,,,1968,,56183245,9,1,72,3140,3074,66,0,0,,179625102,22728486,1,0,,22289201,20151,,42875644,58761330,45063584,0,,
1501186,"Дом по адресу Новогиреевская ул., д.39",,WS,,,1952,,2048912,5,3,60,3566,2999,567,0,0,,179625102,22728486,0,0,22289162,22289204,16490,,42875644,58761330,45063584,0,,
1501199,"Дом по адресу Муромская ул., д.26",,WS,,,2009,,2048798,1,2,1,318,318,0,,,,179625091,22728486,0,0,,22289204,260020,,22741963,58761330,,0,,
1501200,"Дом по адресу Никитинская ул., д.31",,404140001,,,1961,,2048912,5,3,60,2535,2513,22,,,,179625102,22728486,0,0,22289163,22289201,16198,,42875644,58761330,45063584,0,,
1501211,"Дом по адресу Оранжерейная ул., д.6, с.1А",,adm20180821,Нет техпаспорта МосгорБТИ,,1947,,2048798,1,1,1,24,24,0,,,,2048931,22728486,0,0,,22289204,50302,,42875644,41321872,,0,,
1501214,"Дом по адресу Алтайская ул., д.9, к.1",,WS,,,1978,,2048755,9,8,287,14247,14239,8,,,,2048929,22728486,8,0,,22289201,369,,42875644,58761330,45063584,0,,
1501220,"Дом по адресу Парковая 5-я ул., д.28",,404070001,,,1963,,56183255,5,2,40,1844,1580,264,,,,179625102,22728486,0,0,22289163,22289201,18586,,42875644,58761330,45063584,0,,
1501255,"Дом по адресу Фортунатовская ул., д.11",,404150001,,,1960,,2048912,5,4,79,4096,3344,752,,,,179625102,22728486,0,0,22289163,22289205,27586,,42875644,58761330,45063584,0,,
1501256,"Дом по адресу Ивантеевская ул., д.3, к.3",,404010001,,,1964,,2048912,5,3,64,4187,2727,1460,0,0,,179625102,22728486,0,0,22289162,22289201,20162,,42875644,58761330,45063584,0,,
1501266,"Дом по адресу Косинская Б. ул., д.9",,WS,,,1936,,2048798,1,3,2,171,171,0,,,,2048931,22728486,0,0,,22289205,50123,,22741963,58761330,,0,,
1501275,"Дом по адресу Красковский 1-й пр., д.19",,404080001,,,1961,,2048798,2,2,1,186,186,0,,,,179625102,22728486,0,0,,22289205,50039,,22741963,58761330,,0,,
1501279,"Дом по адресу Косинская Б. ул., д.26Б",,WS,,,1922,,2048798,1,2,1,41,41,0,,,,2048931,22728486,0,0,,22289204,50135,,22741963,58761330,,0,,
1501287,"Дом по адресу Открытое шоссе, д.29, к.7",,WS,,,1964,,2048912,5,3,60,2484,2484,0,,,,179625102,22728486,0,0,22289162,22289201,18192,,42875644,58761330,45063584,0,,
1501288,"Дом по адресу Черницынский пр., д.8",,WS,,,1969,,56183433,9,5,180,7905,7905,0,,,,179625103,22728486,5,0,,22289201,28661,,42875644,58761330,45063584,0,,
1501291,"Дом по адресу Рокоссовского Маршала бульв., д.7, к.2",,404010001,,,1963,,2048912,9,1,72,2674,2585,89,0,0,,179625090,22728486,1,0,,22289201,21905,,42875644,58761330,45063584,0,,
1501294,"Дом по адресу Красносолнечная ул., д.34",,WS,,,1936,,2048798,1,3,3,158,158,0,,,,2048931,22728486,0,0,,22289205,50364,,22741963,58761330,,0,,
1501299,"Дом по адресу Сиреневый бульв., д.43",,404140001,,,1961,,2048912,6,4,84,4283,3613,670,,,,179625102,22728486,0,0,22289163,22289201,23774,,42875644,58761330,45063585,0,,
1501305,"Дом по адресу Измайловский бульв., д.38",,404070001,,,1955,,2048912,6,9,151,15608,11176,4432,0,0,,179625102,22728486,0,0,22289162,22289204,23765,,42875644,58761330,45063584,0,,
1501312,"Дом по адресу Семеновская Б. ул., д.27, к.2",,404150001,,,1971,,2048798,12,1,84,4914,3832,1082,,,,179625102,22728486,2,0,,22289201,23361,,42875644,58761330,45063584,0,,
1501318,"Дом по адресу Парковая 5-я ул., д.64, к.4",,404140001,,,1961,,2048912,5,3,70,4343,3572,771,,,,179625102,22728486,3,0,22289163,22289204,18636,,42875644,58761330,45063585,0,,
1501351,"Дом по адресу Муромская ул., д.51",,operator2,,,1959,,2048912,1,2,2,91,91,0,,,,179625119,22728486,0,0,,22289205,15360,,42875644,58761330,226721963,0,обращение МЖИ от 22.10.2020г.,
1501352,"Дом по адресу Сталеваров ул., д.10, к.1",,WS,,,1972,,2048781,9,10,358,16782,16782,0,,,,2048929,22728486,10,0,,22289201,24598,,42875644,58761330,45063584,0,,
1501353,"Дом по адресу Зеленый просп., д.77, к.1",,WS,,,1967,,56183249,12,1,81,3637,3473,164,,,,179625090,22728486,2,0,,22289201,8411,,42875644,58761330,45063584,0,,
1501366,"Дом по адресу Кетчерская ул., д.8, к.2",,WS,,,1971,,2048781,9,8,287,14312,14312,0,,,,2048929,22728486,8,0,,22289201,10013,,42875644,58761330,45063584,0,,
1501369,"Дом по адресу Прядильная 3-я ул., д.15",,404070001,,,1960,,2048912,5,4,74,3451,3138,313,,,,179625102,22728486,0,0,22289162,22289204,21170,,42875644,58761330,45063584,0,,
1501378,"Дом по адресу Буракова ул., д.5, к.2",,404150001,,,1965,,56183255,12,1,84,3682,3614,68,,,,179625090,22728486,2,0,,22289201,2995,,42875644,58761330,45063584,0,,
1501380,"Дом по адресу Девятого Мая ул., д.20А",,404040001,,,1963,,2048912,4,3,48,2581,2052,529,,,,179625102,22728486,0,0,22289163,22289205,6340,,42875644,58761330,45063584,0,,
1501400,"Дом по адресу Щелковское шоссе, д.92, к.1",,404140001,,,1965,,2048755,5,5,100,4496,4496,0,,,,2048929,22728486,0,0,22289163,22289201,29975,,42875644,58761330,45063584,0,,
1501404,"Дом по адресу Металлургов ул., д.12, к.1",,404120001,,,1965,,2048755,5,4,80,3528,3528,0,,,,2048929,22728486,0,0,22289162,22289201,14223,,42875644,58761330,45063584,0,,
1501410,"Дом по адресу Открытое шоссе, д.26, к.9",,WS,,,1997,,2048777,14,4,190,10579,10508,71,,,,2048929,22728486,4,4,,22289201,64025,,42875644,58761330,45063584,0,,
1501419,"Дом по адресу Щелковское шоссе, д.47, к.2",,404050001,,,1964,,2048752,5,4,79,3386,3386,0,,,,179625102,22728486,0,0,22289163,22289201,29923,,42875644,58761330,45063584,0,,
1501441,"Дом по адресу Металлургов ул., д.37Б",,404120001,,,1961,,2048912,5,3,60,3025,2500,525,,,,179625102,22728486,0,0,22289162,22289205,14252,,42875644,58761330,45063584,0,,
1501455,"Дом по адресу Оренбургская ул., д.24, к.2",,404080001,,,1977,,2048912,5,5,100,4535,4535,0,,,,179625102,22728486,0,0,22289163,22289201,17686,,42875644,58761330,45063584,0,,
1501461,"Дом по адресу Ивантеевская ул., д.16/18",,404010001,,,1959,,2048912,5,5,73,4172,4020,152,0,0,,179625102,22728486,0,0,22289162,22289204,260104,,42875644,58761330,45063584,0,,
1501475,"Дом по адресу Зеленый просп., д.67, к.1",,WS,,,1974,,2048755,9,4,144,7114,7112,2,0,0,,2048929,22728486,4,0,,22289201,8398,,42875644,58761330,45063584,0,,
1501483,"Дом по адресу Поселковая ул., д.13, к.1",,WS,,,1936,,2048798,1,2,2,110,110,0,,,,2048931,22728486,0,0,,22289204,49813,,22741963,58761330,,0,,
1501490,"Дом по адресу Камова ул., д.20",,WS,,,1921,,2048798,1,3,2,246,246,0,,,,2048932,22728486,0,0,,22289204,50340,,22741963,58761330,,0,,
1501491,"Дом по адресу Косинская Б. ул., д.65",,adm20180821,Нет техпаспорта МосгорБТИ,,1917,,2048798,1,1,1,71,71,0,,,,2048931,22728486,0,0,,22289204,11152,,42875644,41321872,,0,,
1501499,"Дом по адресу Прядильная 3-я ул., д.6",,404070001,,,1960,,2048912,5,3,45,2938,2450,488,,,,179625102,22728486,0,0,22289163,22289204,21159,,42875644,58761330,45063584,0,,
1501507,"Дом по адресу Зверинецкая ул., д.6",,404150001,,,1963,,2048752,5,4,80,4114,3423,691,,,,179625102,22728486,0,0,22289163,22289201,8215,,42875644,58761330,45063584,0,,
1501512,"Дом по адресу Первомайская ул., д.107",,404030001,,,1953,,2048912,5,3,40,2622,2105,517,,,,179625102,22728486,2,0,22289163,22289204,19214,,42875644,58761330,45063584,0,,
1501513,"Дом по адресу Суздальская ул., д.14, к.4",,WS,,,1995,,2048777,14,5,275,15518,15404,114,,,,2048929,22728486,5,5,,22289201,61193,,42875644,58761330,45063584,0,,
1501515,"Дом по адресу Открытое шоссе, д.17, к.11",,WS,,,1963,,2048755,5,3,59,2569,2549,20,,,,2048929,22728486,0,0,22289162,22289201,18095,,42875644,58761330,45063584,0,,
1501526,"Дом по адресу Городецкая ул., д.8, к.2",,WS,,,1987,,2048779,17,2,135,7423,7374,49,,,,2048929,22728486,2,2,,22289201,5749,,42875644,58761330,45063584,0,,
1501528,"Дом по адресу Рудневка ул., д.17",,404080001,,,2005,,2048825,14,4,212,11996,11856,140,,,,2048929,22728486,4,4,,22289201,240057,,42875644,58761330,45063584,0,,
1501545,"Дом по адресу Снайперская ул., д.6, к.2",,WS,,,1970,,56183244,9,4,143,7487,7487,0,,,,2048929,22728486,4,0,,22289201,24036,,42875644,58761330,45063584,0,,
1501546,"Дом по адресу Михельсона ул., д.23А",,adm20180821,Нет техпаспорта МосгорБТИ,,1928,,2048798,1,2,1,51,51,0,,,,2048931,22728486,0,0,,22289204,49608,,42875644,41321872,,0,,
1501547,"Дом по адресу Первомайская ул., д.113",,404030001,,,1956,,2048912,5,5,58,5195,4153,1042,,,,179625102,22728486,0,0,22289163,22289204,19218,,42875644,58761330,45063584,0,,
1501550,"Дом по адресу Каскадная ул., д.28А",,adm20180821,Нет техпаспорта МосгорБТИ,,1957,,2048798,1,2,2,68,68,0,,,,2048931,22728486,0,0,,22289206,49649,,42875644,41321872,,0,,
1501554,"Дом по адресу Челябинская ул., д.11, к.2",,WS,,,1978,,2048756,16,2,127,8323,8259,64,,,,2048929,22728486,2,2,,22289201,28400,,42875644,58761330,45063585,0,,
1501559,"Дом по адресу Златоустовская ул., д.54",,WS,,,1918,,2048798,1,4,5,246,246,0,,,,2048931,22728486,0,0,,22289204,49572,,22741963,58761330,,0,,
1501561,"Дом по адресу Щербаковская ул., д.44А",,operator2,,,1956,,2048912,12,4,151,10989,9246,1743,0,0,,179625102,22728486,4,0,,22289201,30016,,42875644,58761330,45063584,0,,
1501564,"Дом по адресу Камова ул., д.2",,WS,,,1927,,2048798,1,3,3,178,178,0,,,,2048931,22728486,0,0,,22289204,50333,,22741963,58761330,,0,,
1501571,"Дом по адресу Зеленый просп., д.66, к.2",,WS,,,1968,,2048798,13,1,72,4905,4509,396,,,,179625102,22728486,2,0,,22289201,8397,,42875644,58761330,45063584,0,,
1501594,"Дом по адресу Бирюсинка ул., д.15, к.1",,404050001,,,1964,,2048752,5,4,80,3443,3416,27,,,,179625102,22728486,0,0,22289163,22289201,2225,,42875644,58761330,45063584,0,,
1501601,"Дом по адресу Энтузиастов шоссе, д.60, к.3",,404120001,,,1957,,2048912,4,1,16,961,942,19,,,,179625102,22728486,0,0,22289163,22289204,30143,,42875644,58761330,45063584,0,,
1501616,"Дом по адресу Братская ул., д.5",,404120001,,,1962,,2048912,5,4,80,3454,3386,68,,,,179625102,22728486,0,0,22289162,22289205,2761,,42875644,58761330,45063584,0,,
1501618,"Дом по адресу Парковая 11-я ул., д.53",,operator2,,,1966,,2048755,5,5,100,4489,4489,0,,,,2048929,22728486,0,0,22289162,22289201,18822,,42875644,41321872,45058207,0,обращение МЖИ от 11.02.2022г.,
1501621,"Дом по адресу Парковая 16-я ул., д.21, к.2",,404030001,,,1966,,2048755,5,4,76,3545,3377,168,,,,2048929,22728486,0,0,22289163,22289201,18999,,42875644,58761330,45063584,0,,
1501627,"Дом по адресу Чебоксарская ул., д.31",,WS,,,1918,,2048798,1,2,2,205,205,0,,,,2048931,22728486,0,0,,22289204,49883,,22741963,58761330,,0,,
1501629,"Дом по адресу Вешняковская ул., д.3",,WS,,,1972,,2048781,9,6,215,10527,10527,0,,,,2048929,22728486,6,0,,22289201,3773,,42875644,58761330,45063584,0,,
1501631,"Дом по адресу Косинская Б. ул., д.43",,WS,,,1933,,2048798,1,3,1,217,189,28,,,,2048931,22728486,0,0,,22289205,50144,,22741963,58761330,,0,,
1501655,"Дом по адресу Фрязевская ул., д.15, к.4",,WS,,,1971,,2048759,14,1,98,4285,4285,0,,,,179625090,22728486,2,0,,22289201,27717,,42875644,58761330,45063584,0,,
1501657,"Дом по адресу Вешняковская ул., д.12, к.1",,operator2,,,1989,,2048777,17,4,270,15054,15004,50,,,,2048929,22728486,4,4,,22289201,3791,,42875644,58761330,45063585,0,,
1501661,"Дом по адресу Буденного просп., д.27, к.3",,404150001,,,1959,,2048912,5,4,60,3207,3207,0,,,,179625102,22728486,0,0,22289163,22289204,2923,,42875644,58761330,45063584,0,,
1501668,"Дом по адресу Мартеновская ул., д.8, к.2",,404120001,,,1959,,2048798,5,3,45,2373,2373,0,,,,179625102,22728486,0,0,22289163,22289205,13835,,42875644,58761330,45063584,0,,
1501671,"Дом по адресу Щелковское шоссе, д.57, к.1",,WS,,,1966,,2048912,9,1,68,3464,2438,1026,,,,179625090,22728486,1,0,,22289201,29932,,42875644,58761330,45063584,0,,
1501676,"Дом по адресу Сиреневый бульв., д.70",,WS,,,1971,,2048759,14,1,98,4222,4222,0,,,,179625090,22728486,2,0,,22289201,23810,,42875644,58761330,45063584,0,,
1501679,"Дом по адресу Новогиреевская ул., д.10, к.2",,404120001,,,1961,,2048912,5,3,58,2505,2428,77,,,,179625102,22728486,0,0,22289162,22289204,16450,,42875644,58761330,45063584,0,,
1501681,"Дом по адресу Перовская ул., д.7, к.1",,404120001,,,1962,,2048912,5,4,77,3378,3201,177,,,,179625102,22728486,0,0,22289162,22289204,19428,,42875644,58761330,45063584,0,,
1501684,"Дом по адресу Гаражная ул., д.3",,404150001,,,1963,,2048912,5,3,60,2511,2511,0,,,,179625102,22728486,0,0,22289163,22289201,5192,,42875644,58761330,45063584,0,,
1501699,"Дом по адресу Маленковская ул., д.7",,operator2,,,1927,,2048912,6,4,44,3428,2773,655,,,,179625102,22728486,4,0,22289163,22289204,13732,,42875644,58761330,45063584,0,,
1501700,"Дом по адресу Погонный пр., д.5, к.3",,404010001,,,1983,,2048798,16,2,123,7605,7351,254,0,0,,179625102,22728486,2,2,,22289201,20130,,42875644,58761330,45063584,0,,
1501705,"Дом по адресу Подбельского 5-й пр., д.4А, к.2",,404010001,,,1957,,2048912,5,3,50,3539,3539,0,0,0,,179625102,22728486,0,0,22289163,22289204,20211,,42875644,58761330,45063584,0,,
1501712,"Дом по адресу Девятого Мая ул., д.17",,404040001,,,1959,,2048912,4,3,48,2531,2035,496,,,,179625102,22728486,0,0,22289163,22289204,6335,,42875644,58761330,45063584,0,,
1501715,"Дом по адресу Владимирская 3-я ул., д.4",,404120001,,,1966,,2048912,9,3,108,5517,4493,1024,,,,179625102,22728486,3,0,,22289201,4100,,42875644,58761330,45063584,0,,
1501721,"Дом по адресу Мироновская ул., д.28",,404150001,,,1964,,2048752,5,3,60,2644,2509,135,,,,179625102,22728486,0,0,22289163,22289201,14598,,42875644,58761330,45063584,0,,
1501731,"Дом по адресу Первомайская ул., д.8",,404070001,,,1963,,2048763,8,3,86,4493,3559,934,,,,179625102,22728486,3,0,22289162,22289201,19153,,42875644,58761330,45063584,0,,
1501733,"Дом по адресу Парковая 13-я ул., д.35, к.5",,404140001,,,1963,,2048755,5,4,80,3587,3566,21,,,,2048929,22728486,0,0,22289163,22289201,18874,,42875644,58761330,45063584,0,,
1501734,"Дом по адресу Вешняковская ул., д.26, к.1",,WS,,,1972,,2048759,14,1,98,4264,4264,0,,,,179625090,22728486,2,0,,22289201,3806,,42875644,58761330,45063585,0,,
1501736,"Дом по адресу Красносолнечная ул., д.8",,WS,,,1897,,2048798,1,2,2,125,125,0,,,,2048931,22728486,0,0,,22289204,50375,,22741963,58761330,,0,,
1501740,"Дом по адресу Парковая 15-я ул., д.48",,404140001,,,1962,,2048755,5,5,100,4485,4480,5,,,,2048929,22728486,0,0,22289163,22289201,18965,,42875644,58761330,45063584,0,,
1501743,"Дом по адресу Красковская ул., д.52",,WS,,,1993,,2048798,2,1,1,89,89,0,,,,179625102,22728486,0,0,,22289205,240063,,22741963,58761330,,0,,
1501747,"Дом по адресу Сокольнический Вал ул., д.48",,adm_2019_08_08,,,1980,,2048756,16,2,124,8332,7879,453,,,,2048929,22728486,2,2,,22289201,24242,,42875644,58761330,45063585,0,,
1501752,"Дом по адресу Новогиреевская ул., д.14, к.2",,404120001,,,1958,,2048912,5,4,80,4970,4970,0,,,,179625102,22728486,0,0,22289162,22289204,16458,,42875644,58761330,45063584,0,,
1501758,"Дом по адресу Фрязевская ул., д.11, к.3",,adm_2019_08_08,,,1968,,56183254,12,1,96,3669,3669,0,,,,179625090,22728486,2,0,,22289201,27710,,42875644,58761330,45063585,0,,
1501761,"Дом по адресу Сиреневый бульв., д.3, к.3",,404140001,,,1966,,2048798,9,8,268,13160,11518,1642,,,,179625102,22728486,8,0,,22289201,23726,,42875644,58761330,45063584,0,,
1501763,"Дом по адресу Зеленый просп., д.17",,404120001,,,1954,,2048798,5,3,58,5340,3976,1364,,,,179625102,22728486,0,0,22289162,22289204,8346,,42875644,58761330,45063584,0,,
1501767,"Дом по адресу Реутовская ул., д.14",,operator2,,,1972,,56183256,9,4,144,7211,7211,0,,,,2048929,22728486,4,0,,22289201,21765,,42875644,58761330,45063584,0,,
1501773,"Дом по адресу Владимирская 1-я ул., д.18, к.5",,404120001,,,1970,,2048763,9,1,72,3022,3008,14,,,,179625102,22728486,1,0,,22289201,3997,,42875644,58761330,45063584,0,,
1501781,"Дом по адресу Парковая 13-я ул., д.27, к.4",,404140001,,,1962,,2048912,6,4,84,4309,3592,717,,,,179625102,22728486,4,0,22289163,22289201,18857,,42875644,58761330,45063585,0,,
1501793,"Дом по адресу Щелковское шоссе, д.58, к.2",,operator2,,,1963,,2048758,9,1,71,2887,2526,361,,,,179625090,22728486,1,0,,22289201,29936,,42875644,41321872,45058207,0,обращение МЖИ от 11.02.2022г.,
1501795,"Дом по адресу Щелковское шоссе, д.14",,404140001,,,1962,,2048827,5,3,60,2580,2574,6,,,,179625090,22728486,0,0,22289162,22289201,29890,,42875644,58761330,45063584,0,,
1501805,"Дом по адресу Поселковая ул., д.49, с.1",,WS,,,1928,,2048798,2,4,5,481,481,0,,,,2048931,22728486,0,0,,22289204,49835,,22741963,58761330,,0,,
1501830,"Дом по адресу Парковая 16-я ул., д.19, к.1",,404030001,,,1969,,2048758,12,2,168,7329,7329,0,,,,179625090,22728486,4,0,,22289201,18996,,42875644,58761330,45063584,0,,
1501833,"Дом по адресу Свободный просп., д.25, к.2",,WS,,,1965,,2048912,5,5,75,3134,3134,0,,,,2048929,22728486,0,0,22289163,22289201,22839,,42875644,58761330,45063584,0,,
1501838,"Дом по адресу Соколиной Горы 3-я ул., д.21",,404150001,,,1957,,2048912,5,3,48,4047,3272,775,,,,179625102,22728486,0,0,22289162,22289204,26937,,42875644,58761330,45063584,0,,
1501843,"Дом по адресу Черкизовская Б. ул., д.26, к.4",,404130001,,,1965,,2048912,5,4,79,3359,3359,0,,,,179625102,22728486,0,0,22289163,22289201,28602,,42875644,58761330,45063584,0,,
1501851,"Дом по адресу Утренняя ул., д.18, к.1",,WS,,,1969,,56183254,12,1,84,3624,3624,0,,,,179625090,22728486,2,0,,22289201,26956,,42875644,58761330,45063584,0,,
1501852,"Дом по адресу Николая Химушина ул., д.11, к.1",,WS,,,1961,,2048912,5,3,45,2433,2425,8,,,,179625102,22728486,0,0,22289162,22289205,27921,,42875644,58761330,45063584,0,,
1501857,"Дом по адресу Щелковское шоссе, д.45",,WS,,,1965,,2048912,9,1,68,3528,2432,1096,,,,179625090,22728486,1,0,,22289201,29920,,42875644,58761330,45063584,0,,
1501871,"Дом по адресу Халтуринская ул., д.7А, к.4",,404130001,,,1964,,2048912,5,2,40,1627,1627,0,,,,179625090,22728486,0,0,22289163,22289214,27755,,42875644,58761330,45063584,0,,
1501888,"Дом по адресу Мартеновская ул., д.4",,404120001,,,2006,,2048874,14,5,216,11260,10793,467,,,,2048929,22728486,5,5,,22289201,250024,,42875644,58761330,45063584,0,,
1501899,"Дом по адресу Девятого Мая ул., д.14",,404040001,,,1957,,2048912,4,2,24,3063,1821,1242,,,,179625102,22728486,0,0,22289163,22289204,6331,,42875644,58761330,45063584,0,,
