Наименование,Источник,Дата создания во внешней системе,Дата закрытия,Округ,Адрес,unom,Дата и время завершения события во
Температура в квартире ниже нормативной,EDC,2022-11-25 09:08:22.000000,2022-11-25 09:40:01.627000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-25 09:40:01.627000
Отсутствие освещения в местах общего пользования,EDC,2022-11-25 09:31:54.000000,2022-11-25 09:58:51.063000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-25 09:58:51.063000
Температура в квартире ниже нормативной,EDC,2022-11-25 10:40:41.000000,2022-11-25 11:29:26.864000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-25 11:29:26.864000
Неудовлетворительное техническое содержание мусоропровода,EDC,2022-11-25 10:42:12.000000,2022-11-25 11:28:20.838000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-25 11:28:20.837000
Температура в квартире ниже нормативной,EDC,2022-11-25 10:52:03.000000,2022-11-25 11:29:37.162000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-25 11:29:26.153000
Температура в квартире ниже нормативной,EDC,2022-11-25 11:00:19.000000,2022-11-25 11:28:38.144000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-25 11:28:37.904000
Температура в квартире ниже нормативной,EDC,2022-11-25 20:12:04.000000,2022-11-25 21:18:10.257000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-25 21:18:10.257000
Температура в квартире ниже нормативной,EDC,2022-11-26 14:07:08.000000,2022-11-26 16:25:35.819000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-26 16:25:35.818000
Температура в квартире ниже нормативной,EDC,2022-11-28 11:22:22.000000,2022-11-28 11:55:09.934000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-28 11:55:09.934000
Температура в квартире ниже нормативной,EDC,2022-11-28 11:37:37.000000,2022-11-28 12:06:25.333000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-28 12:06:25.333000
Отсутствие освещения в местах общего пользования,EDC,2022-11-28 17:17:55.000000,2022-11-28 17:38:26.751000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-28 17:38:26.751000
Температура в квартире ниже нормативной,EDC,2022-11-28 17:18:45.000000,2022-11-28 20:19:17.852000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-28 20:19:17.852000
Температура в квартире ниже нормативной,EDC,2022-11-29 11:12:46.000000,2022-11-29 11:48:43.004000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-29 11:48:43.004000
Отсутствие освещения в местах общего пользования,EDC,2022-11-29 19:19:48.000000,2022-11-29 19:45:19.287000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-29 19:45:09.205000
Температура в квартире ниже нормативной,EDC,2022-12-01 11:21:00.000000,2022-12-01 11:36:55.589000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-01 11:36:51.748000
Отсутствие освещения в местах общего пользования,EDC,2022-12-01 11:25:19.000000,2022-12-01 11:57:51.860000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-01 11:57:51.859000
Отсутствие освещения в местах общего пользования,EDC,2022-12-01 11:46:36.000000,2022-12-01 12:09:00.663000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-01 12:08:59.206000
Изменение конфигурации УСПД,ASUPR,2022-12-02 01:43:08.000000,2022-12-02 02:22:25.676000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-02 02:22:25.706000
Температура в квартире ниже нормативной,EDC,2022-12-05 10:42:11.000000,2022-12-05 13:55:26.614000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-05 13:55:26.614000
Отсутствие ГВС в доме,EDC,2022-12-05 11:27:23.000000,2022-12-05 11:51:12.856000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-05 11:51:12.856000
Температура в квартире ниже нормативной,EDC,2022-12-05 13:42:27.000000,2022-12-05 15:38:57.692000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-05 15:38:57.692000
Температура в квартире ниже нормативной,EDC,2022-12-06 09:19:08.000000,2022-12-06 09:36:23.543000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-06 09:36:23.543000
Температура в квартире ниже нормативной,EDC,2022-12-06 10:58:12.000000,2022-12-06 15:35:44.357000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-06 15:35:44.357000
Отсутствие освещения в местах общего пользования,EDC,2022-12-06 16:44:41.000000,2022-12-06 19:58:50.533000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-06 19:58:50.533000
Отсутствие освещения в местах общего пользования,EDC,2022-12-06 20:20:15.000000,2022-12-07 07:52:12.303000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-07 07:52:12.303000
Температура в квартире ниже нормативной,EDC,2022-12-07 09:17:47.000000,2022-12-07 13:19:31.262000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-07 13:19:31.262000
Температура в квартире ниже нормативной,EDC,2022-12-09 19:01:29.000000,2022-12-09 20:03:41.675000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-09 20:03:41.675000
Низкий уровень сигнала GSM,ASUPR,2022-12-12 19:06:06.000000,2022-12-14 17:34:41.024000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-14 17:34:41.020000
Температура ГВС ниже нормы,ASUPR,2022-12-13 00:06:19.000000,2022-12-14 04:35:28.276000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-14 04:35:28.276000
Открыт шкаф УСПД,ASUPR,2022-12-14 10:28:26.000000,2022-12-14 10:35:11.991000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-14 10:35:11.990000
Отсутствие освещения в местах общего пользования,EDC,2022-12-14 12:13:01.000000,2022-12-14 16:16:44.545000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-14 16:16:44.545000
Отсутствие освещения в местах общего пользования,EDC,2022-12-14 18:04:57.000000,2022-12-15 07:03:55.056000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-15 07:03:55.056000
Неудовлетворительное техническое содержание мусоропровода,MGI,2022-12-15 18:34:52.280000,2022-12-27 16:29:17.359000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-27 16:29:17.359000
Отсутствие освещения в местах общего пользования,EDC,2022-12-16 14:03:53.000000,2022-12-16 14:26:29.571000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-16 14:26:29.571000
T1 > max,ASUPR,2022-12-16 19:45:21.000000,2022-12-21 06:25:12.170000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-21 06:25:12.169000
Поломка освещения перед подъездом,EDC,2022-12-17 22:28:41.000000,2022-12-17 23:36:19.338000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-17 23:36:19.338000
Отсутствие освещения в местах общего пользования,EDC,2022-12-20 09:56:21.000000,2022-12-20 10:16:58.066000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-20 10:16:58.066000
Отсутствие освещения в местах общего пользования,EDC,2022-12-27 15:18:07.000000,2022-12-27 15:54:05.591000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-27 15:54:05.591000
Повреждение элементов входной двери,NG,2022-12-26 14:00:24.000000,2023-01-03 10:57:16.897000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2023-01-03 10:57:14.787000
Повреждение системы электропроводки/щитового оборудования,MGI,2022-12-15 18:34:59.343000,2022-12-27 15:53:46.411000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-27 15:53:46.411000
Повреждение элементов входной двери,MGI,2022-12-15 18:34:42.405000,2022-12-27 16:29:26.627000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-12-27 16:29:26.627000
Отсутствие освещения в местах общего пользования,EDC,2022-10-03 10:06:03.000000,2022-10-03 10:28:14.804000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Повреждение системы электропроводки/щитового оборудования,EDC,2022-10-03 12:04:54.000000,2022-10-03 12:43:31.962000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Загрязнение лифта,NG,2022-10-03 13:01:22.347000,2022-10-05 11:46:03.728000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Недогрев ГВС,EDC,2022-10-10 13:21:35.000000,2022-10-10 17:57:53.155000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Отсутствие ГВС в доме,EDC,2022-10-10 17:37:34.000000,2022-10-10 18:59:56.081000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Отсутствие ГВС в доме,EDC,2022-10-11 13:30:04.000000,2022-10-11 14:05:31.808000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Отсутствие ГВС в доме,EDC,2022-10-11 17:09:57.000000,2022-10-11 18:59:24.104000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Недогрев ГВС,EDC,2022-10-12 11:02:42.000000,2022-10-13 00:23:55.582000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Отсутствие ГВС в доме,EDC,2022-10-12 13:12:44.000000,2022-10-13 00:23:42.205000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Отсутствие ГВС в доме,EDC,2022-10-12 17:37:10.000000,2022-10-13 00:58:30.800000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Недогрев ГВС,EDC,2022-10-12 18:06:34.000000,2022-10-13 01:00:17.416000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Отсутствие ГВС в доме,EDC,2022-10-13 07:42:33.000000,2022-10-13 08:08:08.887000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Отсутствие освещения в местах общего пользования,EDC,2022-10-13 13:02:02.000000,2022-10-13 13:58:19.229000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Отсутствие ГВС в доме,EDC,2022-10-13 18:40:41.000000,2022-10-13 20:09:08.207000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Недогрев ГВС,EDC,2022-10-14 08:49:30.000000,2022-10-14 10:38:21.458000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Отсутствие ГВС в доме,EDC,2022-10-14 10:57:41.000000,2022-10-14 11:50:00.462000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Отсутствие ГВС в доме,EDC,2022-10-14 12:29:17.000000,2022-10-14 13:30:58.765000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Отсутствие ГВС в доме,EDC,2022-10-14 16:10:25.000000,2022-10-14 17:03:52.221000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Отсутствие ГВС в доме,EDC,2022-10-14 19:21:15.000000,2022-10-14 19:56:04.366000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Отсутствие освещения в местах общего пользования,EDC,2022-10-16 12:38:32.000000,2022-10-16 13:02:06.489000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-10-17 05:23:35.000000,2022-10-17 02:26:11.972000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-10-17 05:23:35.000000,2022-10-17 02:26:12.278000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,
Температура в квартире ниже нормативной,EDC,2022-10-18 07:00:35.000000,2022-10-18 07:07:43.892000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-18 07:07:43.688000
Температура в квартире ниже нормативной,EDC,2022-10-18 07:41:02.000000,2022-10-18 07:54:59.301000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-18 07:54:58.190000
Протечка в подъезде,EDC,2022-10-18 14:17:30.000000,2022-10-18 15:01:47.975000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-18 15:01:47.975000
Отсутствие ГВС в доме,EDC,2022-10-18 14:42:00.000000,2022-10-18 15:20:08.013000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-18 15:20:08.013000
Отсутствие освещения в местах общего пользования,EDC,2022-10-18 14:45:41.000000,2022-10-18 15:19:56.501000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-18 15:19:56.501000
Температура в квартире ниже нормативной,EDC,2022-10-18 18:26:57.000000,2022-10-18 19:31:39.019000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-18 19:31:39.018000
Отсутствие ГВС в доме,EDC,2022-10-22 11:12:47.000000,2022-10-22 13:53:58.348000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-22 13:53:58.348000
Отсутствие ГВС в доме,EDC,2022-10-23 09:51:00.000000,2022-10-23 10:22:50.720000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-23 10:22:50.720000
Отсутствие ГВС в доме,EDC,2022-10-24 02:33:32.000000,2022-10-24 02:39:58.968000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-24 02:39:58.968000
Отсутствие ГВС в доме,EDC,2022-10-24 06:08:40.000000,2022-10-24 06:39:22.793000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-24 06:39:22.793000
Отсутствие ГВС в доме,EDC,2022-10-25 05:45:28.000000,2022-10-25 07:09:13.455000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-25 07:09:13.455000
Недогрев ГВС,EDC,2022-10-25 17:15:14.000000,2022-10-25 17:56:34.293000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-25 17:56:34.293000
Отсутствие освещения в местах общего пользования,EDC,2022-10-25 17:16:34.000000,2022-10-25 17:56:53.257000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-25 17:56:53.256000
Отсутствие ГВС в доме,EDC,2022-10-25 17:50:02.000000,2022-10-25 18:06:42.542000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-25 18:06:42.542000
Температура в квартире ниже нормативной,EDC,2022-10-25 21:21:31.000000,2022-10-25 21:42:41.510000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-25 21:42:41.510000
Отсутствие ГВС в доме,EDC,2022-10-26 06:34:52.000000,2022-10-26 11:29:22.447000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-26 11:29:22.447000
Температура в квартире ниже нормативной,EDC,2022-10-26 10:20:56.000000,2022-10-26 11:54:04.451000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-26 11:54:04.451000
Отсутствие ГВС в доме,EDC,2022-10-27 06:24:24.000000,2022-10-27 07:30:21.253000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-27 07:30:21.253000
Отсутствие освещения в местах общего пользования,EDC,2022-10-28 08:54:42.000000,2022-10-28 09:16:05.875000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-28 09:16:05.875000
Отсутствие освещения в местах общего пользования,NG,2022-10-28 13:31:24.773000,2022-10-29 10:36:15.389000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-29 10:36:15.389000
Разбито/сломано/повреждено окно в местах общего пользования,EDC,2022-10-31 10:03:04.000000,2022-10-31 10:54:27.372000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-10-31 10:54:27.372000
Отсутствие освещения в местах общего пользования,EDC,2022-11-05 16:54:49.000000,2022-11-05 18:11:53.478000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-05 18:11:53.477000
Отсутствие ГВС в доме,EDC,2022-11-05 20:07:51.000000,2022-11-05 20:27:05.724000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-05 20:27:05.724000
Отсутствие ГВС в доме,EDC,2022-11-05 20:53:22.000000,2022-11-05 21:13:02.802000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-05 21:13:02.802000
Недогрев ГВС,EDC,2022-11-06 11:13:30.000000,2022-11-06 11:29:01.598000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-06 11:29:01.598000
Отсутствие ГВС в доме,EDC,2022-11-07 10:50:45.000000,2022-11-07 11:47:19.377000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-07 11:47:19.377000
Температура в квартире ниже нормативной,EDC,2022-11-07 16:32:08.000000,2022-11-07 19:35:42.616000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-07 19:35:42.616000
Отсутствие ГВС в доме,EDC,2022-11-07 17:46:00.000000,2022-11-07 19:31:26.442000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-07 19:31:26.442000
Температура в квартире ниже нормативной,EDC,2022-11-07 18:39:10.000000,2022-11-07 18:49:11.479000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-07 18:49:11.479000
Температура в квартире ниже нормативной,EDC,2022-11-07 20:38:43.000000,2022-11-08 03:22:55.793000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-08 03:22:55.793000
Отсутствие ГВС в доме,EDC,2022-11-08 06:24:24.000000,2022-11-08 08:54:19.652000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-08 08:54:19.652000
Температура в квартире ниже нормативной,EDC,2022-11-08 18:48:56.000000,2022-11-08 19:50:16.204000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-08 19:50:14.411000
Температура в квартире ниже нормативной,EDC,2022-11-08 19:21:04.000000,2022-11-08 19:50:13.872000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-08 19:50:13.654000
Недогрев ГВС,EDC,2022-11-09 19:18:40.000000,2022-11-09 19:35:31.159000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-09 19:35:31.159000
Отсутствуют актуальные мгновенные значения,ASUPR,2022-02-28 03:03:19.000000,2022-02-28 05:45:38.145000,ВАО,"внутригородская территория муниципальный округ Преображенское, Большая Черкизовская улица, дом 14, корпус 1",28578,
Лифт требует ремонта,EDC,2022-01-24 23:38:00.000000,2022-01-25 01:39:43.301000,ВАО,"внутригородская территория муниципальный округ Преображенское, Большая Черкизовская улица, дом 14, корпус 1",28578,2022-01-25 00:43:24.000000
Запах газа в кухне,MOS_GAS,2022-03-28 15:58:07.000000,2022-04-05 10:40:31.596000,ВАО,"внутригородская территория муниципальный округ Преображенское, Большая Черкизовская улица, дом 14, корпус 1",28578,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-03-03 04:03:04.000000,2022-03-03 08:37:57.609000,ВАО,"внутригородская территория муниципальный округ Преображенское, Большая Черкизовская улица, дом 14, корпус 1",28578,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-03-03 04:03:04.000000,2022-03-03 08:37:57.619000,ВАО,"внутригородская территория муниципальный округ Преображенское, Большая Черкизовская улица, дом 14, корпус 1",28578,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-02-28 03:03:19.000000,2022-02-28 05:45:37.952000,ВАО,"внутригородская территория муниципальный округ Преображенское, Большая Черкизовская улица, дом 14, корпус 1",28578,
Лифт требует ремонта,EDC,2022-01-23 10:13:36.000000,2022-01-23 15:49:01.161000,ВАО,"внутригородская территория муниципальный округ Преображенское, Большая Черкизовская улица, дом 14, корпус 1",28578,2022-01-23 14:27:08.000000
Отсутствие освещения в местах общего пользования,EDC,2022-01-17 15:49:28.000000,2022-01-17 18:09:40.528000,ВАО,"внутригородская территория муниципальный округ Преображенское, Большая Черкизовская улица, дом 14, корпус 1",28578,2022-01-17 17:23:54.000000
Температура в квартире ниже нормативной,EDC,2022-03-14 13:34:32.000000,2022-03-15 10:31:22.680000,ВАО,"внутригородская территория муниципальный округ Преображенское, Большая Черкизовская улица, дом 14, корпус 1",28578,
Отсутствие освещения в местах общего пользования,EDC,2022-02-15 12:28:26.000000,2022-02-15 20:24:15.177000,ВАО,"внутригородская территория муниципальный округ Преображенское, Большая Черкизовская улица, дом 14, корпус 1",28578,2022-02-15 20:08:38.000000
Изменение конфигурации УСПД,ASUPR,2022-02-17 13:38:21.000000,2022-02-18 12:40:24.814000,ВАО,"внутригородская территория муниципальный округ Преображенское, Большая Черкизовская улица, дом 14, корпус 1",28578,
Низкий уровень сигнала GSM,ASUPR,2022-02-18 20:34:11.000000,2022-02-19 01:03:12.131000,ВАО,"внутригородская территория муниципальный округ Преображенское, Большая Черкизовская улица, дом 14, корпус 1",28578,
Запах газа в кухне,MOS_GAS,2022-02-20 13:14:51.000000,2022-02-20 14:15:51.667000,ВАО,"внутригородская территория муниципальный округ Преображенское, Большая Черкизовская улица, дом 14, корпус 1",28578,
Протечка в подъезде,EDC,2022-09-06 13:49:12.000000,2022-09-06 17:28:38.347000,ВАО,"внутригородская территория муниципальный округ Гольяново, Сахалинская улица, дом 6, корпус 1",22750,
Низкий уровень сигнала GSM,ASUPR,2022-08-28 04:35:13.000000,2022-08-28 01:35:33.946000,ВАО,"внутригородская территория муниципальный округ Гольяново, Сахалинская улица, дом 6, корпус 1",22750,
