"№
п/п",Код,Наименование,Наименование объекта общего имущества,Тип работ,Группа работ,Сокращенное наименование работы
,,ремонт внутридомовых инженерных систем газоснабжения,Внутридомовые инженерные системы газоснабжения,Работа,СМР,ГАЗ
15,9,"ремонт подвальных помещений, относящихся к общему имуществу собственников помещений","Подвальные помещения, относящиеся к общему имуществу",Работа,СМР,Подвал
,,"ремонт подвальных помещений, относящихся к общему имуществу в многоквартирном доме","Подвальные помещения, относящиеся к общему имуществу",Работа,СМР,Подвал
16,3,ремонт внутридомовых инженерных систем теплоснабжения (стояки),Внутридомовые системы отопления (стояки),Работа,СМР,ЦО
,,ремонт внутридомовых инженерных систем теплоснабжения (стояки),Внутридомовые системы отопления (стояки),Работа,СМР,ЦО
17,5,ремонт внутридомовых инженерных систем водоотведения (канализации) (стояки),Внутридомовые системы канализации (стояки),Работа,СМР,КАН
,,ремонт внутридомовых инженерных систем водоотведения (канализации) (стояки),Внутридомовые системы канализации (стояки),Работа,СМР,КАН
18,4,ремонт внутридомовых инженерных систем горячего водоснабжения (стояки),Внутридомовые инженерные системы горячего водоснабжения (стояки),Работа,СМР,ГВС
,,ремонт внутридомовых инженерных систем горячего водоснабжения (стояки),Внутридомовые инженерные системы горячего водоснабжения (стояки),Работа,СМР,ГВС
19,11,ремонт фундамента,Фундамент,Работа,СМР,Фундамент
20,4,ремонт внутридомовых инженерных систем холодного водоснабжения (стояки),Внутридомовые системы холодного водоснабжения (стояки),Работа,СМР,ХВС
,,ремонт внутридомовых инженерных систем холодного водоснабжения (стояки),Внутридомовые системы холодного водоснабжения (стояки),Работа,СМР,ХВС
21,8,ремонт крыши,Крыша,Работа,СМР,Крыша
,,ремонт крыши,Крыша,Работа,СМР,Крыша
22,12,ремонт или замена внутреннего водостока,Внутренний водосток,Работа,СМР,ВДСК
,,ремонт внутреннего водостока,Внутренний водосток,Работа,СМР,ВДСК
23,13,ремонт балконов,Фасад (балконы),Работа,СМР,Балкон
24,10,ремонт фасада,Фасад,Работа,СМР,Фасад
24,10,ремонт фасадов,Фасад,Работа,СМР,Фасад
25,333,оценка соответствия лифтов,оценка соответствия лифтов,Услуга,Оценка соответствия лифтов,Оценка
26,28,"Разработка и проведение экспертизы ПД, в том числе АН за проведением работ по сохранению ОКН, выявленных ОКН, научное руководство проведением указанных работ в случае проведения работ по КР ОИ в МКД  г. Москвы, являющихся ОКН, выявленными ОКН.","Разработка и проведение экспертизы ПД, в том числе АН за проведением работ по сохранению ОКН, выявленных ОКН, научное руководство проведением указанных работ в случае проведения работ по КР ОИ в МКД  г. Москвы, являющихся ОКН, выявленными ОКН.",Работа,Не задано,"Разработка и проведение экспертизы ПД, в том числе АН за проведением работ по сохранению ОКН, выявленных ОКН, научное руководство проведением указанных работ в случае проведения работ по КР ОИ в МКД  г. Москвы, являющихся ОКН, выявленными ОКН."
27,106,Авторский надзор,Авторский надзор,Услуга,Не задано,Авторский надзор
28,321,разработка проектной документации по лифтам,разработка проектной документации по лифтам,Услуга,Лифты,ПСД лифты
29,6,замена лифтового оборудования,Лифт,Работа,Лифты,Лифт
,,замена лифтового оборудования,,,,Лифт
