ID,NAME,PARENT_ID,LOGIN,COL_1044,COL_1045,COL_1157,COL_1239,COL_4488,COL_4489,COL_4764,COL_4923,COL_20060,COL_20061,COL_20062,COL_20063
3590037,Сбивание сосулек,26352859,migration,В течение 1 суток после обнаружения,2048730,Крыши,1.200.2,,,1,2015,0,0,,
3590040,Сбрасывание снега с крыш,26352859,migration,В течение 3 часов после снегопада,2048730,Крыши,1.200.1,,,1,2015,0,0,,
3590048,Частичная смена отдельных элементов,26352875,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,2048730,Перекрытия,4.30.1,,,1,2015,0,0,,
3590050,Дератизация,26352865,migration,1 раз(а) в год,3588894,Дезинсекция,13.1,,,1,2015,0,0,,
3590060,Влажное подметание лестничных площадок и маршей нижних 2 этажей,26352857,migration,1 раз(а) в день,2048730,Санитарное обслуживание,1.1,,,1,2015,0,0,,
3590067,Мытье дверей,26352857,migration,1 раз(а) в год,3588898,Санитарное обслуживание,1.1,,,1,2015,0,0,,
3590079,Мытье плафонов на лестничных клетках,26352857,migration,1 раз(а) в год,3588898,Санитарное обслуживание,1.9,,,1,2015,0,0,,
3590088,Мытье слаботочных устройств,26352857,migration,1 раз(а) в год,3588898,Санитарное обслуживание,1.16,,,1,2015,0,0,,
3590104,Вывоз и обезвреживание твердых бытовых отходов,26352868,migration,1 раз(а) в день,2048731,Мусор,2.1,,,1,2015,0,0,,
3590111,Замена и восстановление работоспособности внутридомового электрооборудования (за исключением внутриквартирных устройств и приборов),26352881,migration,В ходе подготовки к эксплуатации дома в осенне-зимний период,3588894,Электричество,5.22,,,1,2015,0,0,,
3590118,"Замена и восстановление работоспособности отдельных элементов системы холодного водоснабжения, при необходимости отключение и включение стояков",26352881,migration,В ходе подготовки к эксплуатации дома в осенне-зимний период,3588894,Электричество,5.19,,,1,2015,0,0,,
3590121,"Замена и восстановление центрального отопления с выполнением наладочных регулировочных работ, ликвидацией непрогревов и неисправностей в квартирах",26352881,migration,В ходе подготовки к эксплуатации дома в осенне-зимний период,3588894,Электричество,5.18,,,1,2015,0,0,,
3590045,Укрепление и окраска,26352875,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,Перекрытия,4.30.3,,,1,2015,0,0,,
3590053,"Ремонт почтовых ящиков, крепления",26352865,migration,В течении 1 суток с момента получения заявки,3588898,Почтовые ящики,13.3,,,1,2015,0,0,,
3590077,Мытье отопительных приборов,26352857,migration,2 раз(а) в год,3588898,Электричество,1.15,,,1,2015,0,0,,
3682799,Замена и восстановление работоспособности отдельных общедомовых элементов,26352886,migration,,3588894,Газ,8.3,,,1,2015,0,0,,
3682804,Регулировка и наладка систем вентиляции,26352886,migration,,3588894,Газ,8.2,,,1,2015,0,0,,
3682813,Осмотр пожарной сигнализации и средств тушения в домах,26352885,migration,,3588894,Вентилляция,7.1,,,1,2015,0,0,,
3682821,Полив газонов,26352867,migration,,2048730,Благоустройство двора,14.5,,,1,2015,0,0,,
3682826,Стрижка газонов,26352867,migration,,2048730,Благоустройство двора,14.6,,,1,2015,0,0,,
3682829,Уборка мусора на контейнерных площадках,26352867,migration,,3588894,Благоустройство двора,14.4,,,1,2015,0,0,,
3590006,Восстановление лестницы,26352878,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,"Лестницы, пандусы, крыльцо",4.60.1,,,1,2015,0,0,,
3590010,Восстановление пандуса,26352878,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588898,"Лестницы, пандусы, крыльцо",4.60.3,,,1,2015,0,0,,
3590018,Замена конструкций над балконами верхних этажей,26352878,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,"Лестницы, пандусы, крыльцо",4.6.11,,,1,2015,0,0,,
3590030,Ремонт технических и вспомогательных помещений,26352878,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,"Лестницы, пандусы, крыльцо",4.6.14,,,1,2015,0,0,,
3590063,Влажное подметание перед загрузочными клапанами мусоропроводов,26352857,migration,1 раз(а) в неделю,2048730,Санитарное обслуживание,1.3,,,1,2015,0,0,,
3590114,"Замена и восстановление работоспособности отдельных элементов системы горячего водоснабжения, при необходимости отключение и включение стояков",26352881,migration,В ходе подготовки к эксплуатации дома в осенне-зимний период,3588894,Водоснабжение,5.2,,,1,2015,0,0,,
3590134,"Проведение технических осмотров систем водопровода и канализации, центрального отопления и горячего водоснабжения, электротехнических устройств, вентиляционных каналов",26352881,migration,В ходе подготовки к эксплуатации дома в осенне-зимний период,3588894,Водоснабжение,5.7,,,1,2015,0,0,,
3590177,"Очистка и ремонт детских и спортивных площадок, элементов благоустройства",26352867,migration,В ходе подготовки к эксплуатации дома в весенне-летний период,3588894,Благоустройство двора,14.8,,,1,2015,0,0,,
3590202,Утепление трубопроводов в подвальных помещениях,26352879,migration,В ходе подготовки к эксплуатации дома в осенне-зимний период,3588900,"Чердаки, подвалы",4.70.3,,,1,2015,0,0,,
3590084,Мытье пола кабины лифта,26352857,migration,1 раз(а) в день,2048730,Лифт,1.5,,,1,2015,0,0,,
3590091,Мытье чердачных лестниц,26352857,migration,1 раз(а) в год,2048730,"Лестницы, пандусы, крыльцо",1.13,,,1,2015,0,0,,
3590101,Уборка чердачного помещения,26352857,migration,1 раз(а) в год,2048730,"Чердаки, подвалы",1.21,,,1,2015,0,0,,
3590106,"Восстановление работоспособности вентиляционных и промывочных устройств, мусороприемных клапанов и шиберных устройств",26352881,migration,В ходе подготовки к эксплуатации дома в осенне-зимний период,3588894,Вентилляция,5.23,,,1,2015,0,0,,
3590124,Замена окон в помещениях общего пользования,26352877,migration,Устранение по мере обнаружения дефектов,3588898,Окна,4.50.4,,,1,2015,0,0,,
3590127,Консервация системы центрального отопления,26352881,migration,В ходе подготовки к эксплуатации дома в осенне-зимний период,3588894,Отопление,5.2,,,1,2015,0,0,,
3590161,Утепление дымовентиляционных каналов,26352881,migration,В ходе подготовки к эксплуатации дома в осенне-зимний период,3588900,Вентилляция,5.4,,,1,2015,0,0,,
3590169,Обслуживание систем дымоудаления и противопожарной безопасности,26352885,migration,1 раз(а) в месяц,3588894,Вентилляция,7.2,,,1,2015,0,0,,
3590187,Сдвижка и подметание снега,26352867,migration,В течение 3 часов после снегопада,2048730,Снег,14.9,,,1,2015,0,0,,
3590192,Укрепление водосточных труб,26352882,migration,Устранение по мере обнаружения дефектов,3588900,Водосток,5.10.1,,,1,2015,0,0,,
3590197,Укрепление колен,26352882,migration,Устранение по мере обнаружения дефектов,3588898,Водосток,5.10.2,,,1,2015,0,0,,
3590205,Утепление трубопроводов в чердачных помещениях,26352879,migration,В ходе подготовки к эксплуатации дома в осенне-зимний период,3588900,"Чердаки, подвалы",4.70.2,,,1,2015,0,0,,
3590209,Восстановление гидроизоляции стен,26352874,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,2048730,Стены и фасад,4.2.10,,,1,2015,0,0,,
3590214,Герметизация межпанельных стыков,26352874,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588900,Стены и фасад,4.20.1,,,1,2015,0,0,,
3590222,Замена уличных указателей,26352874,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,2048730,Стены и фасад,4.20.8,,,1,2015,0,0,,
3590223,"Окраска, промывка фасадов",26352874,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,2048730,Стены и фасад,4.20.5,,,1,2015,0,0,,
3590229,Ремонт фасадов,26352874,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,2048730,Стены и фасад,4.20.3,,,1,2015,0,0,,
3590231,Ремонт цоколей,26352874,migration,Устранение по мере обнаружения дефектов,3588898,Стены и фасад,4.20.4,,,1,2015,0,0,,
3590240,"Устранение местных деформаций, усиление, восстановление поврежденных участков фундаментов",26352873,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,Фундамент,4.1.1.1,,,1,2015,0,0,,
3590098,Уборка подвального помещения,26352857,migration,1 раз(а) в год,2048730,Уборка,1.22,,,1,2015,0,0,,
3682778,Проверка заземления оболочки электрокабеля,26352881,migration,,3588894,Электричество,5.12,,,1,2015,0,0,,
3682785,Прочистка канализационного лежака,26352881,migration,,3588900,Канализация,5.1,,,1,2015,0,0,,
3590148,"Ремонт коллективных приборов учета ресурсов: ГВС, ХВС, отопления, электроснабжения",26352881,migration,В ходе подготовки к эксплуатации дома в осенне-зимний период,3588898,Водоснабжение,5.16,,,1,2015,0,0,,
3590154,Ремонт окон в помещениях общего пользования,26352877,migration,Устранение по мере обнаружения дефектов,3588898,Окна,4.50.3,,,1,2015,0,0,,
3590156,"Ремонт, регулировка, промывка и опрессовка систем центрального отопления, утепление бойлеров",26352881,migration,В ходе подготовки к эксплуатации дома в осенне-зимний период,3588894,Отопление,5.3,,,1,2015,0,0,,
3590164,"Проверка внутренней системы газоснабжения, замена и восстановление работоспособности внутридомового газового оборудования (газопровода), находящегося в составе общего имущества дома",26352887,migration,1 раз(а) в год,3588894,Газ,9.1,,,1,2015,0,0,,
3590172,Обслуживание лифтов и лифтового оборудования,26352884,migration,Круглосуточно,3588898,Лифт,6.1,,,1,2015,0,0,,
3590182,Подрезка деревьев и кустов,26352867,migration,1 раз(а) в год,3588898,Благоустройство двора,14.7,,,1,2015,0,0,,
3590194,Укрепление воронок,26352882,migration,Устранение по мере обнаружения дефектов,3588898,Водосток,5.10.3,,,1,2015,0,0,,
3590199,Изготовление новых или ремонт существующих ходовых досок и переходных мостиков на чердаках,26352879,migration,Устранение по мере обнаружения дефектов,3588898,"Чердаки, подвалы",4.70.4,,,1,2015,0,0,,
3590206,Утепление чердачных перекрытий,26352879,migration,В ходе подготовки к эксплуатации дома в осенне-зимний период,2048730,"Чердаки, подвалы",4.70.1,,,1,2015,0,0,,
3590216,Заделка и восстановление архитектурных элементов,26352874,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,Стены и фасад,4.20.2,,,1,2015,0,0,,
3590226,"Окраска, промывка цоколей",26352874,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588900,Стены и фасад,4.20.6,,,1,2015,0,0,,
3590238,"Устранение местных деформаций, усиление, восстановление поврежденных участков отмосток",26352873,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,Стены и фасад,4.1.1.3,,,1,2015,0,0,,
3682611,Видеодиагностика внутренней поверхности асбестоцементных стволов мусоропровода,26352883,migration,,,Мусоропровод,5.240.2,,,1,2015,0,0,,
3682615,"Влажная протирка стен, дверей, плафонов и потолка кабины лифта",26352860,migration,,,Уборка,1.230.2,,,1,2015,0,0,,
3682618,Водоотведение воды потребленной на общедомовые нужды,26352864,migration,,,Водосток,12.20.3,,,1,2015,0,0,,
3682621,Гидропневматическая очистка системы отопления,26352883,migration,,,Отопление,5.24.10,,,1,2015,0,0,,
3682622,Дезинфекция мусоросборников,26352883,migration,,,Мусоропровод,5.240.7,,,1,2015,0,0,,
3682625,Мойка нижней части ствола и шибера  мусоропровода,26352883,migration,,,Мусоропровод,5.240.5,,,1,2015,0,0,,
3682627,Мойка сменных  мусоросборников,26352883,migration,,,Мусоропровод,5.240.4,,,1,2015,0,0,,
3682629,Мытье лестничных площадок выше 2-го этажа,113207398,migration,,,Уборка,1.60.2,,,1,2015,0,0,,
3682632,Мытье лестничных площадок нижних 2 этажей,113207398,migration,,,Уборка,1.60.1,,,1,2015,0,0,,
3682634,Обслуживание и ремонт АСКУЭ,26352883,migration,,,Водоснабжение,5.24.12,,,1,2015,0,0,,
3682637,Обслуживание и ремонт АУУТЭ,26352883,migration,,,Водоснабжение,5.24.11,,,1,2015,0,0,,
3682638,Обслуживание и ремонт крышных газовых котельных,26352883,migration,,,Газ,5.24.15,,,1,2015,0,0,,
3682641,Обслуживание и ремонт насосных пунктов,26352883,migration,,,Водоснабжение,5.24.13,,,1,2015,0,0,,
3682644,Обслуживание и ремонт тепловых пунктов,26352883,migration,,,Отопление,5.24.14,,,1,2015,0,0,,
3682645,Очистка и дезинфекция всех элементов ствола мусоропровода,26352883,migration,,,Мусоропровод,5.240.6,,,1,2015,0,0,,
3682648,Профилактический осмотр  мусоропроводов,26352883,migration,,,Мусоропровод,5.240.1,,,1,2015,0,0,,
3682650,Расход горячей воды потребленной на общедомовые нужды,26352864,migration,,,Водоснабжение,12.20.2,,,1,2015,0,0,,
3682652,Расход холодной воды потребленной на общедомовые нужды,26352864,migration,,,Водоснабжение,12.20.1,,,1,2015,0,0,,
3682654,Ремонт внутренних стен подъездов,26352880,migration,,,Стены и фасад,4.80.1,,,1,2015,0,0,,
3682656,Ремонт или замена входных дверей в подъезды,26352880,migration,,,Двери,4.80.2,,,1,2015,0,0,,
3590131,"Поверка коллективных приборов учета ресурсов: ГВС, ХВС, отопления, электроснабжения",26352881,migration,В ходе подготовки к эксплуатации дома в осенне-зимний период,3588898,Счетчики,5.15,,,1,2015,0,0,,
3590144,Ремонт дверей в помещениях общего пользования,26352877,migration,Устранение по мере обнаружения дефектов,3588898,Двери,4.50.1,,,1,2015,0,0,,
3590233,"Устранение местных деформаций, усиление, восстановление поврежденных участков вентиляционных продухов",26352873,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,Вентилляция,4.1.1.2,,,1,2015,0,0,,
3589970,Выполнение заявок населения,26352861,migration,Незамедлительное реагирование с момента получения заявки,3588894,Авария,10.2,,,1,2015,0,0,,
3589999,Восстановление козырьков над входами в подъезды,26352878,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,"Лестницы, пандусы, крыльцо",4.60.7,,,1,2015,0,0,,
3590013,Восстановление подвалов,26352878,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,"Лестницы, пандусы, крыльцо",4.60.9,,,1,2015,0,0,,
3590027,Замена пандуса,26352878,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588898,"Лестницы, пандусы, крыльцо",4.60.4,,,1,2015,0,0,,
3590054,Влажная протирка стен,26352857,migration,1 раз(а) в год,3588898,Санитарное обслуживание,1.8,,,1,2015,0,0,,
3590057,Влажное подметание лестничных площадок и маршей выше 2-го этажа,26352857,migration,1 раз(а) в неделю,2048730,Санитарное обслуживание,1.2,,,1,2015,0,0,,
3590064,Мытье  закрывающих устройств мусоропровода,26352857,migration,1 раз(а) в неделю,3588898,Санитарное обслуживание,1.4,,,1,2015,0,0,,
3590070,Мытье лестничных площадок,26352857,migration,1 раз(а) в месяц,2048730,Санитарное обслуживание,1.6,,,1,2015,0,0,,
3590072,Мытье окон,26352857,migration,1 раз(а) в год,3588898,Санитарное обслуживание,1.7,,,1,2015,0,0,,
3590074,Мытье оконных решеток,26352857,migration,1 раз(а) в год,3588898,Санитарное обслуживание,1.12,,,1,2015,0,0,,
3590081,Мытье подоконников,26352857,migration,2 раз(а) в год,3588898,Санитарное обслуживание,1.11,,,1,2015,0,0,,
3590087,Мытье почтовых ящиков,26352857,migration,1 раз(а) в год,3588898,Санитарное обслуживание,1.17,,,1,2015,0,0,,
3590094,Мытье шкафов для электросчетчиков,26352857,migration,1 раз(а) в год,3588898,Санитарное обслуживание,1.14,,,1,2015,0,0,,
3590097,"Очистка кровли от мусора, грязи и листьев",26352857,migration,2 раз(а) в год,2048730,Санитарное обслуживание,1.18,,,1,2015,0,0,,
3590108,Замена дверей в помещениях общего пользования,26352877,migration,Устранение по мере обнаружения дефектов,3588898,Двери,4.50.2,,,1,2015,0,0,,
3590117,"Замена и восстановление работоспособности отдельных элементов системы канализации, в том числе ликвидация засоров, за исключением внутриквартирного сантехоборудования",26352881,migration,В ходе подготовки к эксплуатации дома в осенне-зимний период,3588894,Канализация,5.21,,,1,2015,0,0,,
3590129,Обслуживание ламп-сигналов,26352881,migration,Круглосуточно,3588898,Свет,5.17,,,1,2015,0,0,,
3590137,Проверка исправности канализационных вытяжек,26352881,migration,Устранение по мере обнаружения дефектов,3588898,Канализация,5.9,,,1,2015,0,0,,
3590138,Прочистка дымовентиляционных каналов,26352881,migration,В ходе подготовки к эксплуатации дома в осенне-зимний период,3588900,Вентилляция,5.5,,,1,2015,0,0,,
3590141,Регулировка и наладка систем автоматики расширительных баков,26352881,migration,В ходе подготовки к эксплуатации дома в осенне-зимний период,3588898,Мусор,5.11,,,1,2015,0,0,,
3590146,Ремонт и утепление наружных водоразборных кранов,26352881,migration,В ходе подготовки к эксплуатации дома в осенне-зимний период,3588898,Водоснабжение,5.6,,,1,2015,0,0,,
3590151,"Ремонт неисправностей в системах водопровода и канализации, центрального отопления и горячего водоснабжения, электротехнических устройств, вентиляционных каналов",26352881,migration,В ходе подготовки к эксплуатации дома в осенне-зимний период,3588894,Водоснабжение,5.8,,,1,2015,0,0,,
3590159,Установка и текущий ремонт доводчиков,26352877,migration,Устранение по мере обнаружения дефектов,3588898,Двери,4.50.5,,,1,2015,0,0,,
3590167,"Замена и восстановление работоспособности элементов пожаротушения (трубопроводов, включая ввод и стояки пожарного водопровода)",26352885,migration,В течение 5 суток после обнаружения,3588894,Пожарная безопасность,7.3,,,1,2015,0,0,,
3590174,Ликвидация скользкости,26352867,migration,В течение 3 часов после обнаружения,2048730,Снег,14.1,,,1,2015,0,0,,
3590179,Подметание земельного участка в летний период,26352867,migration,1 раз(а) в день,2048730,Уборка улицы,14.1,,,1,2015,0,0,,
3590185,Полив тротуаров,26352867,migration,1 раз(а) в сутки при температуре воздуха более 25 градусов,2048730,Уборка улицы,14.2,,,1,2015,0,0,,
3590189,"Уборка мусора с газона, очистка урн",26352867,migration,1 раз(а) в день,2048730,Уборка улицы,14.3,,,1,2015,0,0,,
3590235,"Устранение местных деформаций, усиление, восстановление поврежденных участков входов в подвалы",26352873,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,Стены и фасад,4.1.1.4,,,1,2015,0,0,,
3590219,Замена домовых знаков,26352874,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588898,Стены и фасад,4.20.7,,,1,2015,0,0,,
3590212,Восстановление домовых знаков и уличных указателей,26352874,migration,Устранение по мере обнаружения дефектов,3588898,Стены и фасад,4.20.9,,,1,2015,0,0,,
121128193,"Ремонт кровельного покрытия  подъездн.  козырьков, ложных балконов ",121128185,migration,,,Крыши,5.80.4,,,0,2016,0,0,,
121128195,Ремонт кровельного покрытия дома ,121128185,migration,,,Крыши,5.80.3,,,0,2016,0,0,,
121128196,Ремонт мусоропроводов ,121128187,migration,,,Мусоропровод,6.240.9,,,0,2016,0,0,,
121128198,"Ремонт электрооборудования (эл. щитков, замена АВР (аварийное включение резерва) и др. работы) ",121128187,migration,,,Электричество,6.24.16,,,0,2016,0,0,,
121128199,Снятие показаний общедомового прибора учета (если входит в состав общедомового имущества) ,121128176,migration,,,Счетчики,14.40.2,,,0,2016,0,0,,
121128200,Техническая инвентаризация ,121128176,migration,,,Техническое обслуживание,14.40.1,,,0,2016,0,0,,
121128201,Техническое обслуживание светильников дежурного освещения ,121128187,migration,,,Свет,6.24.17,,,0,2016,0,0,,
121128203,Техническое обслуживание систем дистанционного снятия показаний индивидуальных приборов учета (водопотребления и электроэнергии) ,121128176,migration,,,Счетчики,14.40.3,,,0,2016,0,0,,
121128204,Уборка  мусороприемных камер ,121128174,migration,,,Мусор,2.230.1,,,0,2016,0,0,,
121128205,Уборка загрузочных клапанов  мусоропроводов ,121128187,migration,,,Мусоропровод,6.240.3,,,0,2016,0,0,,
121128206,Удаление мусора из  мусороприемных камер ,121128177,migration,,,Мусоропровод,3.20.1,,,0,2016,0,0,,
121128207,Устранение засора ,121128187,migration,,,Мусоропровод,6.240.8,,,0,2016,0,0,,
121128208,Дезинсекция ,121128148,migration,,3588894,Санитарное обслуживание,14.2,,,0,2016,0,0,,
121128209,Вывоз и обезвреживание крупногабаритного мусора ,121128147,migration,,2048731,Мусор,4.1,,,0,2016,0,0,,
121128210,Замеры сопротивления ,121128153,migration,,3588894,Счетчики,6.14,,,0,2016,0,0,,
121128211,Проверка изоляции проводов ,121128153,migration,,3588894,Электричество,6.13,,,0,2016,0,0,,
121128215,"Проверка наличия тяги в дымоходах, вентиляционных каналах ",121128157,migration,,3588898,Вентилляция,9.1,,,0,2016,0,0,,
121128216,"Замена и восстановление работоспособности внутридомового газового оборудования (газопровода), находящегося в составе общего имущества дома ",121128156,migration,,3588894,Газ,10.2,,,0,2016,0,0,,
121128217,"Расход электроэнергии, потребленной на дежурное освещение мест общего пользования и работу лифтов (общедомовые нужды) ",121128158,migration,,,Электричество,12.1,,,0,2016,0,0,,
121128218,Замена элементов наружного водостока ,121128181,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588900,Крыши,5.40.3,3274964,1,0,2016,0,0,,
121128219,Ремонт освещения ,121128181,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588898,Крыши,5.40.6,3274964,1,0,2016,0,0,,
121128220,"Усиление элементов деревянной стропильной системы, ",121128181,migration,Осмотр 2 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,Крыши,5.40.1,3274964,2,0,2016,0,0,,
121128221,Восстановление конструкций над балконами верхних этажей ,121128183,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,"Лестницы, пандусы, крыльцо",5.6.10,3274964,1,0,2016,0,0,,
121128222,Восстановление лестничных клеток ,121128183,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,"Лестницы, пандусы, крыльцо",5.6.12,3274964,1,0,2016,0,0,,
